articleKey,enSlug,deSlug,category,primaryKeywordEN,primaryQuestionEN,primaryKeywordDE,primaryQuestionDE,referenceCount,technicalNote
cubesatTesting,cubesat-tvac-testing,cubesat-tvac-test,applications,CubeSat thermal vacuum testing,What must a CubeSat TVAC campaign demonstrate before launch integration?,CubeSat-TVAC-Test,Welche Nachweise muss eine CubeSat-TVAC-Kampagne vor der Startintegration liefern?,4,True
outgassingBasics,outgassing-in-vacuum,ausgasung-im-vakuum,basics,outgassing in vacuum,"How are TML, CVCM, bake-out, QCM and RGA used to control outgassing?",Ausgasung im Vakuum,"Wie werden TML, CVCM, Ausheizen, QCM und RGA zur Ausgasungskontrolle eingesetzt?",3,False
leakDetectionBasics,helium-leak-testing-tvac,helium-lecktest-tvac,engineeringGuide,helium leak testing vacuum chamber,How is a TVAC chamber leak-tested and how should leak rates be interpreted?,Helium-Lecktest Vakuumkammer,Wie wird eine TVAC-Kammer auf Lecks geprüft und wie sind Leckraten zu bewerten?,4,False
spaceEnvironmentSimulation,space-environment-simulation,weltraumumgebung-simulieren,basics,space environment simulation chamber,Which parts of the orbital thermal environment can a TVAC chamber reproduce?,Weltraumsimulationskammer,Welche Teile der thermischen Orbitumgebung kann eine TVAC-Kammer nachbilden?,3,False
tvacTestTypes,tvac-test-types,tvac-testarten,basics,TVAC test types,Which TVAC test type answers which verification question?,TVAC-Testarten,Welche TVAC-Testart beantwortet welche Verifikationsfrage?,3,True
electricPropulsionTesting,electric-propulsion-vacuum-testing,elektrische-antriebe-vakuumtest,applications,electric propulsion vacuum testing,Why do firing tests for Hall and ion thrusters require dedicated vacuum facilities?,elektrische Antriebe Vakuumtest,Warum benötigen Feuertests von Hall- und Ionentriebwerken eigene Vakuumanlagen?,3,False
temperatureMeasurement,temperature-measurement-tvac,temperaturmessung-tvac,engineeringGuide,temperature measurement in TVAC,"How should temperature sensors be selected, mounted and calibrated in vacuum?",Temperaturmessung im TVAC,"Wie werden Temperatursensoren im Vakuum ausgewählt, montiert und kalibriert?",4,False
tvacFacilityRequirements,tvac-facility-requirements,tvac-anlagen-infrastruktur,engineeringGuide,TVAC facility requirements,"What utilities, safety systems and room conditions must a TVAC facility provide?",TVAC-Infrastruktur Anforderungen,"Welche Medien, Sicherheitssysteme und Raumbedingungen muss ein TVAC-Standort bereitstellen?",3,True
solarSimulationVsIr,solar-simulation-vs-infrared,solarsimulation-vs-infrarot,engineeringGuide,solar simulation vs infrared heating,When does a TVAC test need spectral solar simulation instead of heat-flux equivalence?,Solarsimulation vs Infrarotheizung,Wann braucht ein TVAC-Test spektrale Solarsimulation statt einer wärmeäquivalenten Beheizung?,3,False
tvacChamberSizing,tvac-chamber-sizing,tvac-kammer-dimensionierung,basics,TVAC chamber sizing,"How large should a TVAC chamber be for the test item, fixture, harness and growth margin?",TVAC-Kammer dimensionieren,"Wie groß muss eine TVAC-Kammer für Prüfling, Vorrichtung, Verkabelung und Reserve sein?",3,True
