claimGroup,auditedStatement,status,basis,publicationCondition
ECSS testing standard revision,"ECSS-E-ST-10-03C Rev.1, 31 May 2022",Externally verified,ECSS official standard page,Use only where contractually applicable
NASA GEVS revision and scope,"GSFC-STD-7000B, Goddard-specific",Externally verified,NASA Standards official page,Do not present as universal NASA requirement
SMC-S-016 status,2014 test requirements reference,Externally verified,NTIS official record,Contract and current programme documents remain binding
MIL-STD-1540D status,Cancelled 28 July 2016,Externally verified,DLA ASSIST official status record,Retained only as historical context
Outgassing screening method,125 °C for 24 h; TML below 1.0%; CVCM below 0.10% as common screening criteria,Externally verified,NASA Outgassing Database and ECSS-Q-ST-70-02C,Project cleanliness requirements may be stricter
Solar irradiance reference,About 1361 W/m² near Earth,Externally verified,NASA Goddard solar irradiance page,Applied test flux remains mission and margin specific
Helium tracer-gas method,Method and calibration context,Externally verified,"ISO 20485, ISO 20486 and NIST leak standards",Acceptance leak rate remains system specific
Temperature measurement traceability,Thermocouple and resistance-thermometer calibration context,Externally verified,NIST and IEC 60751,Actual test uncertainty requires system-level calibration
Electric propulsion facility effects,"Background pressure, pumping and facility interaction are test-specific",Externally verified,NASA/JPL facility and NASA technical literature,No Deepvac heritage claim is inferred from the external sources
ZnSe and normal-glass IR transmission,Material choice depends on spectral band and calibration,Externally verified,NASA technical literature and FLIR technical guidance,Window assembly and coatings remain application specific
LN₂ oxygen-deficiency hazard,Oxygen monitoring and ventilation are core controls,Externally verified,OSHA primary material,Local regulations and project risk assessment remain binding
Deepvac nominal Standard Series sizes,"65, 125, 250, 500, 1000 and 2000 L on current page",Aligned with current product page,Deepvac Standard Series page,Internal product-owner approval required
Deepvac working pressure,≤ 1 × 10⁻⁶ mbar on current page,Aligned with current product page,Deepvac Standard Series page,Confirm measurement conditions and loaded performance
Deepvac thermal ranges,Direct LN₂ and GN₂ −180 to +150 °C; mechanical −90 to +150 °C; flooded LN₂ about −190 °C,Aligned with current product page,Deepvac Standard Series page,Internal thermal-engineering approval required
"Deepvac uniformity, stability and ramp","±2 K, ±0.5 K, ≥1 K/min on current page",Aligned with current product page,Deepvac Standard Series page,"Confirm zone, load, sensor definition and per-size applicability"
Deepvac control-system features,"PLC, 7-inch panel, 0.1 °C resolution, CSV/TXT/XLS and PC control on current page",Aligned with current product page,Deepvac Standard Series page,Internal controls approval required
