articleKey,languageScope,referenceTitle,publisher,url
cubesatTesting,EN+DE,Small Spacecraft Body of Knowledge and CubeSat 101,NASA Small Spacecraft Systems Virtual Institute,https://www.nasa.gov/smallsat-institute/small-spacecraft-body-of-knowledge/
cubesatTesting,EN+DE,"State of the Art of Small Spacecraft Technology, Thermal Control",NASA Small Spacecraft Systems Virtual Institute,https://www.nasa.gov/smallsat-institute/sst-soa/thermal-control/
cubesatTesting,EN+DE,ECSS-E-ST-10-03C Rev.1: Testing,European Cooperation for Space Standardization (ECSS),https://ecss.nl/standard/ecss-e-st-10-03c-rev-1-testing-31-may-2022/
cubesatTesting,EN+DE,GSFC-STD-7000B: General Environmental Verification Standard (GEVS),NASA Goddard Space Flight Center,https://standards.nasa.gov/standard/gsfc/gsfc-std-7000
outgassingBasics,EN+DE,ECSS-Q-ST-70-02C: Thermal vacuum outgassing test for the screening of space materials,European Cooperation for Space Standardization (ECSS),https://ecss.nl/standard/ecss-q-st-70-02c-thermal-vacuum-outgassing-test-for-the-screening-of-space-materials/
outgassingBasics,EN+DE,Outgassing Data for Selecting Spacecraft Materials: Test description,NASA,https://outgassing.nasa.gov/Description
outgassingBasics,EN+DE,Outgassing properties of vacuum materials for particle accelerators,CERN,https://cds.cern.ch/record/2723690
leakDetectionBasics,EN+DE,"ISO 20485:2017: Non-destructive testing, Leak testing, Tracer gas method",International Organization for Standardization (ISO),https://www.iso.org/standard/68190.html
leakDetectionBasics,EN+DE,ISO 20486:2017: Calibration of reference leaks for gases,International Organization for Standardization (ISO),https://www.iso.org/standard/68191.html
leakDetectionBasics,EN+DE,Leak Artifacts and Vacuum Leak Primary Standard,National Institute of Standards and Technology (NIST),https://www.nist.gov/laboratories/tools-instruments/leak-artifacts
leakDetectionBasics,EN+DE,CERN Accelerator School: Vacuum Technology,CERN,https://cds.cern.ch/record/402784
spaceEnvironmentSimulation,EN+DE,Solar Irradiance Science,NASA Goddard Space Flight Center,https://earth.gsfc.nasa.gov/climate/projects/solar-irradiance/science
spaceEnvironmentSimulation,EN+DE,Space Environment Simulator facility capabilities,NASA Goddard Space Flight Center,https://etd.gsfc.nasa.gov/capabilities/facilities-listing/space-environment-simulator/
spaceEnvironmentSimulation,EN+DE,"State of the Art of Small Spacecraft Technology, Thermal Control",NASA Small Spacecraft Systems Virtual Institute,https://www.nasa.gov/smallsat-institute/sst-soa/thermal-control/
tvacTestTypes,EN+DE,ECSS-E-ST-10-03C Rev.1: Testing,European Cooperation for Space Standardization (ECSS),https://ecss.nl/standard/ecss-e-st-10-03c-rev-1-testing-31-may-2022/
tvacTestTypes,EN+DE,GSFC-STD-7000B: General Environmental Verification Standard (GEVS),NASA Goddard Space Flight Center,https://standards.nasa.gov/standard/gsfc/gsfc-std-7000
tvacTestTypes,EN+DE,"SMC-S-016 (2014): Test Requirements for Launch, Upper-Stage and Space Vehicles",U.S. Space and Missile Systems Center / NTIS,https://ntrl.ntis.gov/NTRL/dashboard/searchResults/titleDetail/ADA619375.xhtml
electricPropulsionTesting,EN+DE,Electric Propulsion Laboratory facilities and capabilities,NASA Jet Propulsion Laboratory,https://www.jpl.nasa.gov/go/epl/capabilities/facilities/
electricPropulsionTesting,EN+DE,Electric Propulsion and Power Laboratory,NASA Glenn Research Center,https://www.nasa.gov/centers-and-facilities/glenn/electric-propulsion-and-power-laboratory/
electricPropulsionTesting,EN+DE,HERMeS Hall Thruster Facility Effect Characterization,NASA Technical Reports Server,https://ntrs.nasa.gov/citations/20170000953
temperatureMeasurement,EN+DE,Thermocouple Calibration Services,National Institute of Standards and Technology (NIST),https://www.nist.gov/pml/sensor-science/temperature-humidity/thermocouples-calibrations-services
temperatureMeasurement,EN+DE,Thermometry Calibration Services,National Institute of Standards and Technology (NIST),https://www.nist.gov/pml/sensor-science/temperature-humidity/thermometry-calibration-services
temperatureMeasurement,EN+DE,IEC 60751:2022: Industrial platinum resistance thermometers and platinum temperature sensors,International Electrotechnical Commission (IEC),https://webstore.iec.ch/en/publication/63753
temperatureMeasurement,EN+DE,ECSS-E-ST-10-03C Rev.1: Testing,European Cooperation for Space Standardization (ECSS),https://ecss.nl/standard/ecss-e-st-10-03c-rev-1-testing-31-may-2022/
tvacFacilityRequirements,EN+DE,"Liquid nitrogen, oxygen-deficiency monitoring and ventilation safety notice",U.S. Occupational Safety and Health Administration,https://www.osha.gov/news/newsreleases/denver/20200520
tvacFacilityRequirements,EN+DE,Oxygen-deficient atmospheres and the 19.5 percent threshold,U.S. Occupational Safety and Health Administration,https://www.osha.gov/otm/section-2-health-hazards/chapter-3
tvacFacilityRequirements,EN+DE,Deepvac Standard Series: current technical data and configuration notes,Deepvac GmbH,https://deepvac.space/products/standard-series
solarSimulationVsIr,EN+DE,Solar Irradiance Science,NASA Goddard Space Flight Center,https://earth.gsfc.nasa.gov/climate/projects/solar-irradiance/science
solarSimulationVsIr,EN+DE,"State of the Art of Small Spacecraft Technology, Thermal Control",NASA Small Spacecraft Systems Virtual Institute,https://www.nasa.gov/smallsat-institute/sst-soa/thermal-control/
solarSimulationVsIr,EN+DE,Space Environment Simulator facility capabilities,NASA Goddard Space Flight Center,https://etd.gsfc.nasa.gov/capabilities/facilities-listing/space-environment-simulator/
tvacChamberSizing,EN+DE,"State of the Art of Small Spacecraft Technology, Thermal Control",NASA Small Spacecraft Systems Virtual Institute,https://www.nasa.gov/smallsat-institute/sst-soa/thermal-control/
tvacChamberSizing,EN+DE,Deepvac Standard Series: current technical data and configuration notes,Deepvac GmbH,https://deepvac.space/products/standard-series
tvacChamberSizing,EN+DE,Deepvac Custom TVAC: project-specific system scope,Deepvac GmbH,https://deepvac.space/products/custom-tvac
tvacLeadTimes,EN+DE,Deepvac Standard Series: current technical data and configuration notes,Deepvac GmbH,https://deepvac.space/products/standard-series
tvacLeadTimes,EN+DE,Deepvac Custom TVAC: project-specific system scope,Deepvac GmbH,https://deepvac.space/products/custom-tvac
tvacLeadTimes,EN+DE,Deepvac TVAC testing services,Deepvac GmbH,https://deepvac.space/services/testing-services
ecssStandardsOverview,EN+DE,ECSS-E-ST-10-03C Rev.1: Testing,European Cooperation for Space Standardization (ECSS),https://ecss.nl/standard/ecss-e-st-10-03c-rev-1-testing-31-may-2022/
ecssStandardsOverview,EN+DE,GSFC-STD-7000B: General Environmental Verification Standard (GEVS),NASA Goddard Space Flight Center,https://standards.nasa.gov/standard/gsfc/gsfc-std-7000
ecssStandardsOverview,EN+DE,"SMC-S-016 (2014): Test Requirements for Launch, Upper-Stage and Space Vehicles",U.S. Space and Missile Systems Center / NTIS,https://ntrl.ntis.gov/NTRL/dashboard/searchResults/titleDetail/ADA619375.xhtml
ecssStandardsOverview,EN+DE,MIL-STD-1540D status record (cancelled 28 July 2016),U.S. Defense Logistics Agency,https://quicksearch.dla.mil/qsDocDetails.aspx?ident_number=36961
tvacAutomation,EN+DE,ECSS-E-ST-10-03C Rev.1: Testing,European Cooperation for Space Standardization (ECSS),https://ecss.nl/standard/ecss-e-st-10-03c-rev-1-testing-31-may-2022/
tvacAutomation,EN+DE,GSFC-STD-7000B: General Environmental Verification Standard (GEVS),NASA Goddard Space Flight Center,https://standards.nasa.gov/standard/gsfc/gsfc-std-7000
tvacAutomation,EN+DE,Deepvac Standard Series: current technical data and configuration notes,Deepvac GmbH,https://deepvac.space/products/standard-series
inHouseVsExternalTesting,EN+DE,GSFC-STD-7000B: General Environmental Verification Standard (GEVS),NASA Goddard Space Flight Center,https://standards.nasa.gov/standard/gsfc/gsfc-std-7000
inHouseVsExternalTesting,EN+DE,Deepvac TVAC testing services,Deepvac GmbH,https://deepvac.space/services/testing-services
inHouseVsExternalTesting,EN+DE,Deepvac Standard Series: current technical data and configuration notes,Deepvac GmbH,https://deepvac.space/products/standard-series
opticsElectronicsTesting,EN+DE,"State of the Art of Small Spacecraft Technology, Thermal Control",NASA Small Spacecraft Systems Virtual Institute,https://www.nasa.gov/smallsat-institute/sst-soa/thermal-control/
opticsElectronicsTesting,EN+DE,ECSS-Q-ST-70-02C: Thermal vacuum outgassing test for the screening of space materials,European Cooperation for Space Standardization (ECSS),https://ecss.nl/standard/ecss-q-st-70-02c-thermal-vacuum-outgassing-test-for-the-screening-of-space-materials/
opticsElectronicsTesting,EN+DE,Molecular Accumulation during JWST Cryogenic Thermal Vacuum Testing,NASA Technical Reports Server,https://ntrs.nasa.gov/citations/20220010052
opticsElectronicsTesting,EN+DE,Thermal imaging through a zinc selenide window during vacuum testing,NASA Technical Reports Server,https://ntrs.nasa.gov/citations/20130001762
pumpingSystemSelection,EN+DE,CERN Accelerator School: Vacuum Technology,CERN,https://cds.cern.ch/record/402784
pumpingSystemSelection,EN+DE,Outgassing properties of vacuum materials for particle accelerators,CERN,https://cds.cern.ch/record/2723690
pumpingSystemSelection,EN+DE,Deepvac Standard Series: current technical data and configuration notes,Deepvac GmbH,https://deepvac.space/products/standard-series
vacuumLevelsExplained,EN+DE,CERN Accelerator School: Vacuum Technology,CERN,https://cds.cern.ch/record/402784
vacuumLevelsExplained,EN+DE,Rarefied gas dynamics and its applications to vacuum technology,CERN,https://cds.cern.ch/record/1046845
vacuumLevelsExplained,EN+DE,Thermometry Calibration Services,National Institute of Standards and Technology (NIST),https://www.nist.gov/pml/sensor-science/temperature-humidity/thermometry-calibration-services
whatIsTvacTesting,EN+DE,ECSS-E-ST-10-03C Rev.1: Testing,European Cooperation for Space Standardization (ECSS),https://ecss.nl/standard/ecss-e-st-10-03c-rev-1-testing-31-may-2022/
whatIsTvacTesting,EN+DE,GSFC-STD-7000B: General Environmental Verification Standard (GEVS),NASA Goddard Space Flight Center,https://standards.nasa.gov/standard/gsfc/gsfc-std-7000
whatIsTvacTesting,EN+DE,Space Environment Simulator facility capabilities,NASA Goddard Space Flight Center,https://etd.gsfc.nasa.gov/capabilities/facilities-listing/space-environment-simulator/
contaminationControl,EN+DE,ECSS-Q-ST-70-02C: Thermal vacuum outgassing test for the screening of space materials,European Cooperation for Space Standardization (ECSS),https://ecss.nl/standard/ecss-q-st-70-02c-thermal-vacuum-outgassing-test-for-the-screening-of-space-materials/
contaminationControl,EN+DE,Outgassing Data for Selecting Spacecraft Materials: Test description,NASA,https://outgassing.nasa.gov/Description
contaminationControl,EN+DE,Molecular Accumulation during JWST Cryogenic Thermal Vacuum Testing,NASA Technical Reports Server,https://ntrs.nasa.gov/citations/20220010052
contaminationControl,EN+DE,Contamination Measurements During Thermal Vacuum Tests in a Large Space Chamber,NASA Technical Reports Server,https://ntrs.nasa.gov/citations/19840026425
viewportsOpticalAccess,EN+DE,Why ordinary glass blocks long-wave infrared imaging,Teledyne FLIR,https://www.flir.com/en-eu/discover/home-outdoor/can-thermal-imaging-see-through-walls/
viewportsOpticalAccess,EN+DE,Accounting for optical material transmission in thermal imaging,Teledyne FLIR,https://www.flir.com/support-center/instruments2/what-is-the-transmission-rate-of-the-optic-material/
viewportsOpticalAccess,EN+DE,Thermal imaging through a zinc selenide window during vacuum testing,NASA Technical Reports Server,https://ntrs.nasa.gov/citations/20130001762
cryoShroudsThermalPlates,EN+DE,Space Environment Simulator facility capabilities,NASA Goddard Space Flight Center,https://etd.gsfc.nasa.gov/capabilities/facilities-listing/space-environment-simulator/
cryoShroudsThermalPlates,EN+DE,"State of the Art of Small Spacecraft Technology, Thermal Control",NASA Small Spacecraft Systems Virtual Institute,https://www.nasa.gov/smallsat-institute/sst-soa/thermal-control/
cryoShroudsThermalPlates,EN+DE,Deepvac Standard Series: current technical data and configuration notes,Deepvac GmbH,https://deepvac.space/products/standard-series
usedVsNewTvac,EN+DE,"ISO 20485:2017: Non-destructive testing, Leak testing, Tracer gas method",International Organization for Standardization (ISO),https://www.iso.org/standard/68190.html
usedVsNewTvac,EN+DE,Leak Artifacts and Vacuum Leak Primary Standard,National Institute of Standards and Technology (NIST),https://www.nist.gov/laboratories/tools-instruments/leak-artifacts
usedVsNewTvac,EN+DE,Deepvac Custom TVAC: project-specific system scope,Deepvac GmbH,https://deepvac.space/products/custom-tvac
